2021-03-19 00:08:27.634 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:29.903 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:29.903 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verity that Auth token API works for various combinations
2021-03-19 00:08:29.903 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:29.904 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:29.904 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/auth/realms/sandbox/protocol/openid-connect/token]
2021-03-19 00:08:29.905 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:29.905 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Content-Type] and Value = [application/x-www-form-urlencoded]
2021-03-19 00:08:29.906 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [grant_type] and Value = [client_credentials]
2021-03-19 00:08:29.906 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_id] and Value = [invalid]
2021-03-19 00:08:29.906 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_secret] and Value = [valid]
2021-03-19 00:08:29.907 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [POST] request
2021-03-19 00:08:30.365 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [510]
2021-03-19 00:08:30.376 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:30.376 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verity that Auth token API works for various combinations
2021-03-19 00:08:30.376 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:30.377 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:30.377 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/auth/realms/sandbox/protocol/openid-connect/token]
2021-03-19 00:08:30.377 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Content-Type] and Value = [application/json]
2021-03-19 00:08:30.378 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Content-Type] and Value = [application/json]
2021-03-19 00:08:30.379 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [grant_type] and Value = [client_credentials]
2021-03-19 00:08:30.379 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_id] and Value = [valid]
2021-03-19 00:08:30.379 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting request paramter as Key = [client_secret] and Value = [invalid]
2021-03-19 00:08:30.380 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [POST] request
2021-03-19 00:08:30.801 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [510]
2021-03-19 00:08:30.810 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:30.810 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verify that Banks API works for various combinations
2021-03-19 00:08:30.810 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:30.810 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:30.810 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/ics/v3/banks]
2021-03-19 00:08:30.811 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Accept] and Value = [application/json]
2021-03-19 00:08:30.811 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Accept] and Value = [application/json]
2021-03-19 00:08:30.811 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Authorization] and Value = [Bearer Token]
2021-03-19 00:08:31.326 [main] INFO  com.neonomics.corelibraries.Authorization - Response recieved for auth API ::{"refresh_expires_in":2592000,"expires_in":86400,"session_state":"d9543ecd-70cf-41c1-bd9e-cb7394f4efbf","access_token":"eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTEsImlhdCI6MTYxNjA5MjcxMSwianRpIjoiOWE5OTc3NjktMzBjNy00MTgzLWIwOTQtMzg5YTQzNmFlYjIxIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6ImQ5NTQzZWNkLTcwY2YtNDFjMS1iZDllLWNiNzM5NGY0ZWZiZiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.Jc3b5Bw7eapnGpRX8XkTTDo3eL3tuEZsFAILe-8YTxBX75Fx6OhGOE1H2PKb2NsEVU9N4nHcxYQYkg4jKS7CpVa6oZV33NRBgEk01UOgH0gsHAYX66ekRf3GpqRdC_c00Z66-5r4gIrt4OREIXRez8Tb8kT3nzztDUzPZyuK2gTw4pr0Bn6ODjOhE9eQPYLRMs6OCLLnY4rjH-vvm_FkUx1pZZ85ULh_OQJMpRg5Cexv9gGajgGV1BThnqpGbXFIGysRR3XxflZCRO1wHL7doDHtPHtdqSQnxlczQTS0m8yHE4d_QeCh_6vmIiE2_EyLHmaMNz-DvjuQod6z7qS0Cg","scope":"banqbridge_client","token_type":"bearer","refresh_token":"eyJhbGciOiJIUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICIwYTAzNjlhNy0yMTg3LTQ3OWYtOTU4NS02Y2QzYTczZDUxOWYifQ.eyJleHAiOjE2MTg2ODQ3MTEsImlhdCI6MTYxNjA5MjcxMSwianRpIjoiMTcwZmEyZWYtYTFiNC00OGFkLTkzOGMtODcxMGI0YmU5ZTc2IiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94IiwiYXVkIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiUmVmcmVzaCIsImF6cCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsInNlc3Npb25fc3RhdGUiOiJkOTU0M2VjZC03MGNmLTQxYzEtYmQ5ZS1jYjczOTRmNGVmYmYiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50In0.cKFTNPCnnrp6NA9VNKTOnIzOSWjZcNlailnN4RZWntg"}
2021-03-19 00:08:31.733 [main] INFO  stepDefinition.StepDefinitions_API_Test - Bearer token :: [Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTEsImlhdCI6MTYxNjA5MjcxMSwianRpIjoiOWE5OTc3NjktMzBjNy00MTgzLWIwOTQtMzg5YTQzNmFlYjIxIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6ImQ5NTQzZWNkLTcwY2YtNDFjMS1iZDllLWNiNzM5NGY0ZWZiZiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.Jc3b5Bw7eapnGpRX8XkTTDo3eL3tuEZsFAILe-8YTxBX75Fx6OhGOE1H2PKb2NsEVU9N4nHcxYQYkg4jKS7CpVa6oZV33NRBgEk01UOgH0gsHAYX66ekRf3GpqRdC_c00Z66-5r4gIrt4OREIXRez8Tb8kT3nzztDUzPZyuK2gTw4pr0Bn6ODjOhE9eQPYLRMs6OCLLnY4rjH-vvm_FkUx1pZZ85ULh_OQJMpRg5Cexv9gGajgGV1BThnqpGbXFIGysRR3XxflZCRO1wHL7doDHtPHtdqSQnxlczQTS0m8yHE4d_QeCh_6vmIiE2_EyLHmaMNz-DvjuQod6z7qS0Cg]
2021-03-19 00:08:31.733 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Authorization] and Value = [Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTEsImlhdCI6MTYxNjA5MjcxMSwianRpIjoiOWE5OTc3NjktMzBjNy00MTgzLWIwOTQtMzg5YTQzNmFlYjIxIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6ImQ5NTQzZWNkLTcwY2YtNDFjMS1iZDllLWNiNzM5NGY0ZWZiZiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.Jc3b5Bw7eapnGpRX8XkTTDo3eL3tuEZsFAILe-8YTxBX75Fx6OhGOE1H2PKb2NsEVU9N4nHcxYQYkg4jKS7CpVa6oZV33NRBgEk01UOgH0gsHAYX66ekRf3GpqRdC_c00Z66-5r4gIrt4OREIXRez8Tb8kT3nzztDUzPZyuK2gTw4pr0Bn6ODjOhE9eQPYLRMs6OCLLnY4rjH-vvm_FkUx1pZZ85ULh_OQJMpRg5Cexv9gGajgGV1BThnqpGbXFIGysRR3XxflZCRO1wHL7doDHtPHtdqSQnxlczQTS0m8yHE4d_QeCh_6vmIiE2_EyLHmaMNz-DvjuQod6z7qS0Cg]
2021-03-19 00:08:31.734 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [x-device-id] and Value = [example_id_for_quickstart]
2021-03-19 00:08:31.734 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [x-device-id] and Value = [example_id_for_quickstart]
2021-03-19 00:08:31.735 [main] INFO  stepDefinition.StepDefinitions_API_Test - Making [GET] request
2021-03-19 00:08:31.962 [main] INFO  stepDefinition.StepDefinitions_API_Test - Validating response code as [200]
2021-03-19 00:08:31.980 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:31.980 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - --- Execution Started :::: Verify that Banks API works for various combinations
2021-03-19 00:08:31.980 [main] INFO  stepDefinition.StepDefinitions_Functional_Test - ********************************************************************************************************
2021-03-19 00:08:31.981 [main] INFO  stepDefinition.StepDefinitions_API_Test - Base URL [https://sandbox.neonomics.io]
2021-03-19 00:08:31.981 [main] INFO  stepDefinition.StepDefinitions_API_Test - Endpoint path [/ics/v3/banksss]
2021-03-19 00:08:31.982 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Accept] and Value = [application/json]
2021-03-19 00:08:31.982 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Accept] and Value = [application/json]
2021-03-19 00:08:31.982 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [Authorization] and Value = [Bearer Token]
2021-03-19 00:08:32.198 [main] INFO  com.neonomics.corelibraries.Authorization - Response recieved for auth API ::{"refresh_expires_in":2592000,"expires_in":86400,"session_state":"04ff014a-ed2f-4fdb-a240-40cda1453a8b","access_token":"eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTIsImlhdCI6MTYxNjA5MjcxMiwianRpIjoiMTE3N2VhNWItNTE1Yi00ZjdjLWFmOTMtZDY3NWM5ZTI1ODJiIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6IjA0ZmYwMTRhLWVkMmYtNGZkYi1hMjQwLTQwY2RhMTQ1M2E4YiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.L2gk-B5obQD_dsfWh8bLgHMZo_tD2dKY-fOcWxAxdqDvBfrFCCPx-yYwIxMIQou04DFQjwFTWq2BrmsTInWxqUM9FnWdO9ixvo9KHVZwEcZcypnREij5u2Oob24bpHNCyFkDQ-YPGZxHtWQdVv9_kA8WTs84-Xzj9bVcaGvbhnddCDrY4qET6rDSsSUWW4KDQPCEB4NPSI_E6Ow9G9nmfMfx0LsjtZRAOa7mg-9GPN7BlUvyTnlVhEp2vV4Ai8iz701YluW3148pCD09Ik1D-W0Wq1SYfcDC4dGWJBCk1c-9UJT9rHa9q2hpAmM890O3qtYkPN2uI0u1RXmeFfSx5w","scope":"banqbridge_client","token_type":"bearer","refresh_token":"eyJhbGciOiJIUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICIwYTAzNjlhNy0yMTg3LTQ3OWYtOTU4NS02Y2QzYTczZDUxOWYifQ.eyJleHAiOjE2MTg2ODQ3MTIsImlhdCI6MTYxNjA5MjcxMiwianRpIjoiY2ZkYTNhMWUtMzQ0Yy00NzkzLWJlZjgtM2QwZTUxMDk5OTlmIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94IiwiYXVkIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiUmVmcmVzaCIsImF6cCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsInNlc3Npb25fc3RhdGUiOiIwNGZmMDE0YS1lZDJmLTRmZGItYTI0MC00MGNkYTE0NTNhOGIiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50In0.9WipHpJRDBAgvaGCCrKKvVlngfgTZb5jJBXFUQlRfKo"}
2021-03-19 00:08:32.229 [main] INFO  stepDefinition.StepDefinitions_API_Test - Bearer token :: [Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTIsImlhdCI6MTYxNjA5MjcxMiwianRpIjoiMTE3N2VhNWItNTE1Yi00ZjdjLWFmOTMtZDY3NWM5ZTI1ODJiIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6IjA0ZmYwMTRhLWVkMmYtNGZkYi1hMjQwLTQwY2RhMTQ1M2E4YiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.L2gk-B5obQD_dsfWh8bLgHMZo_tD2dKY-fOcWxAxdqDvBfrFCCPx-yYwIxMIQou04DFQjwFTWq2BrmsTInWxqUM9FnWdO9ixvo9KHVZwEcZcypnREij5u2Oob24bpHNCyFkDQ-YPGZxHtWQdVv9_kA8WTs84-Xzj9bVcaGvbhnddCDrY4qET6rDSsSUWW4KDQPCEB4NPSI_E6Ow9G9nmfMfx0LsjtZRAOa7mg-9GPN7BlUvyTnlVhEp2vV4Ai8iz701YluW3148pCD09Ik1D-W0Wq1SYfcDC4dGWJBCk1c-9UJT9rHa9q2hpAmM890O3qtYkPN2uI0u1RXmeFfSx5w]
2021-03-19 00:08:32.230 [main] INFO  stepDefinition.StepDefinitions_API_Test - Added :: Header = [Authorization] and Value = [Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJ2MmFQNDdIQXVTUi1qWmR5U3otNDVDV2RaOFhiWGFBMXNDbWhLbWtJLXRvIn0.eyJleHAiOjE2MTYxNzkxMTIsImlhdCI6MTYxNjA5MjcxMiwianRpIjoiMTE3N2VhNWItNTE1Yi00ZjdjLWFmOTMtZDY3NWM5ZTI1ODJiIiwiaXNzIjoiaHR0cHM6Ly9zYW5kYm94Lm5lb25vbWljcy5pby9hdXRoL3JlYWxtcy9zYW5kYm94Iiwic3ViIjoiMjE4MDlmM2EtOWJhOS00MDMxLTllM2QtOTdiNTY3Nzc5OWY5IiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiM2QzNWY2MDYtY2Q1Ny00NzRmLTg2NzYtYjc4ZGZiZWFjMzQ1Iiwic2Vzc2lvbl9zdGF0ZSI6IjA0ZmYwMTRhLWVkMmYtNGZkYi1hMjQwLTQwY2RhMTQ1M2E4YiIsImFjciI6IjEiLCJzY29wZSI6ImJhbnFicmlkZ2VfY2xpZW50Iiwib3JnYW5pemF0aW9uSWQiOiI0MjRhNTc5My01NDQ4LTQ0NjMtODI2YS05NzdhOTc2MTY4NDIiLCJjbGllbnRJZCI6IjNkMzVmNjA2LWNkNTctNDc0Zi04Njc2LWI3OGRmYmVhYzM0NSIsImNsaWVudEhvc3QiOiIxMDMuMjAwLjEwNi4xNzEiLCJja2lkIjoiYmY2NGIzNTktOWFhZC00MjcxLWJjNjItNTFjNDI2NGQyZmQ3IiwiY2xpZW50QWRkcmVzcyI6IjEwMy4yMDAuMTA2LjE3MSJ9.L2gk-B5obQD_dsfWh8bLgHMZo_tD2dKY-fOcWxAxdqDvBfrFCCPx-yYwIxMIQou04DFQjwFTWq2BrmsTInWxqUM9FnWdO9ixvo9KHVZwEcZcypnREij5u2Oob24bpHNCyFkDQ-YPGZxHtWQdVv9_kA8WTs84-Xzj9bVcaGvbhnddCDrY4qET6rDSsSUWW4KDQPCEB4NPSI_E6Ow9G9nmfMfx0LsjtZRAOa7mg-9GPN7BlUvyTnlVhEp2vV4Ai8iz701YluW3148pCD09Ik1D-W0Wq1SYfcDC4dGWJBCk1c-9UJT9rHa9q2hpAmM890O3qtYkPN2uI0u1RXmeFfSx5w]
2021-03-19 00:08:32.230 [main] INFO  stepDefinition.StepDefinitions_API_Test - Setting Header = [x-device-id] and Value = [example_id_for_quickstart]
